___Reference Peak Information							
IS D5-TAG 14:0/16:1/14:0 (14:0)	771.6	245.3	Positive	FA 14:0	TAG	D5 TAG 44:1 (14:0)	1.727
IS D5-TAG 14:0/16:1/14:0 (16:1)	771.6	271.3	Positive	FA 16:1	TAG	D5 TAG 44:1 (16:1)	1.727
IS D5-TAG 15:0/18:1/15:0 (15:0)	827.7	259.3	Positive	FA 15:0	TAG	D5 TAG 48:1 (15:0)	1.807
IS D5-TAG 15:0/18:1/15:0 (18:1)	827.7	299.3	Positive	FA 18:1	TAG	D5 TAG 48:1 (18:1)	1.807
IS D5-TAG 16:0/18:0/16:0 (16:0)	857.7	273.3	Positive	FA 16:0	TAG	D5 TAG 50:0 (16:0)	1.849
IS D5-TAG 16:0/18:0/16:0 (18:0)	857.7	301.3	Positive	FA 18:0	TAG	D5 TAG 50:0 (18:0)	1.849
IS D5-TAG 19:0/12:0/19:0 (12:0)	858	217.3	Positive	FA 12:0	TAG	D5 TAG 50:0 (12:0)	1.849
IS D5-TAG 19:0/12:0/19:0 (19:0)	857.7	315.3	Positive	FA 19:0	TAG	D5 TAG 50:0 (19:0)	1.849
IS D5-TAG 17:0/17:1/17:0 (17:1)	869.7	285.3	Positive	FA 17:1	TAG	D5 TAG 51:1 (17:1)	1.869
IS D5-TAG 17:0/17:1/17:0 (17:0)	869.7	287.3	Positive	FA 17:0	TAG	D5 TAG 51:1 (17:0)	1.869
IS D5-TAG 20:4/18:2/20:4 (18:2)	949.8	297.3	Positive	FA 18:2	TAG	D5 TAG 58:10 (18:2)	2.019
IS D5-TAG 20:4/18:2/20:4 (20:4)	949.8	321.3	Positive	FA 20:3	TAG	D5 TAG 58:10 (20:4)	2.019
IS D5-TAG 20:2/18:3/20:2 (18:3)	955.8	295.3	Positive	FA 18:3	TAG	D5 TAG 58:7 (18:3)	2.02
IS D5-TAG 20:2/18:3/20:2 (20:2)	955.8	325.3	Positive	FA 20:2	TAG	D5 TAG 58:7 (20:2)	2.02
IS D5-TAG 20:5/22:6/20:5 (20:5)	993.9	319.3	Positive	FA 20:5	TAG	D5 TAG 62:16 (20:5)	2.1111
IS D5-TAG 20:5/22:6/20:5 (22:6)	993.9	345.3	Positive	FA 22:6	TAG	D5 TAG 62:16 (22:6)	2.1111
IS D5-TAG 20:0/20:1/20:0 (20:0)	996	329.3	Positive	FA 20:0	TAG	D5 TAG 60:1 (20:0)	2.069
IS D5-TAG 20:0/20:1/20:0 (20:1)	996	327.3	Positive	FA 20:1	TAG	D5 TAG 60:1 (20:0)	2.069
___Internal Standard Information							
Use reference peaks for all tests:	0						
___Target Lipid Information							
TAG 44:0	768.6	217.3	Positive	FA 12:0	TAG	TAG 44:0+NH4	1.722
TAG 44:0	768.6	245.3	Positive	FA 14:0	TAG	TAG 44:0+NH4	1.722
TAG 44:0	768.6	273.3	Positive	FA 16:0	TAG	TAG 44:0+NH4	1.722
