Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
IS PE P-16:0/D3-15:0(PE P-16:0)	22279250	6087250	8516375	7556250	8359311.968	6801250	7583875	7833295.756	8788875	9723000	11054250	14779750	12576848.67	13748104.07	14259000	12630537.39	10720000	11777305.15	11166585.23
IS PE P-16:0/19:0(PE P-16:0)	24105250	6366042.546	8070331.159	8356879.026	9510625	7766413.267	8269815.927	8941497.26	9106702.523	9626875	10845942.1	14533375	13535375	15108000	15875280.43	14069168.84	11645356.8	12986000	13071500
PE P-16:0/16:1(PE P-16:0)	1924657.203	833420.0592	1318250	2188411.427	2697171.736	1830995.668	226188.7167	156125	377250	1042180.645	1757842.406	1367277.513	3167875	4029375	3377838.962	845125	603250	958879.9653	33571.3627
PE P-16:0/18:2(PE P-16:0)	1633750	658655.3783	1052369.948	1152625	1356375	948577.3354	264859.0407	141583.5573	421500	1060000	1683342.089	1317250	1799654.703	2376439.849	2052439.488	723250	526130.2973	768535.4674	47542.7361
PE P-16:0/18:1(PE P-16:0)	15501250	6644250	9967875	9492375	11470251.57	7787848.825	1538194.836	973250	2593102.482	8188375	15069750	10294625	15458250	18921500	16263400.87	6928875	4638244.529	7907943.436	59241.848
PE P-16:0/20:5(PE P-16:0)	1149624.666	703750	895117.8435	1264375	1507500	1047750	489500	266459.4638	947125	1379750	1686625	1146748.467	2148125	2681000	2403250	751250	539212.9656	904204.7585	49952.7261
PE P-16:0/20:4(PE P-16:0)	15937431.32	6331520.909	9548500	10675649.04	12205500	6978375	3667373.439	2533897.505	7067125	15472875	29985625	20090875	18820500	22665125	19115500	13171783.37	9176695.306	15322875	49763.7801
PE P-16:0/20:3(PE P-16:0)	3691924.8	1614190.128	2357861.289	1013223.657	1275082.785	707550.8844	671017.6247	371722.3079	1083211.02	3838894.235	7527905.078	5053684.138	1751607.896	2146598.185	1932612.795	2837665.153	2051437.293	3540076.081	31193.4934
PE P-16:0/20:2(PE P-16:0)	1287533.716	528550.0041	714204.7188	182615.2839	229458.7166	161638.9743	123915.572	130624.6897	220785.7372	902317.8788	1798225.18	1241056.911	190011.9392	211246.4655	202465.2144	816899.7562	579373.1084	997646.896	47171.3593
PE P-16:0/20:1(PE P-16:0)	2435836.677	1106384.49	1479271.452	317375	392982.1471	271153.0798	215632.9761	159375	364093.4529	1089839.273	2198621.674	1481234.351	534073.1832	569055.0857	503400.1526	884771.705	730753.1136	1100200.581	0
PE P-16:0/22:6(PE P-16:0)	5904787.901	2088576.6	3240456.218	2683859.181	3050750	1598761.261	1566250	1053750	2902037.737	4896195.073	9860003.364	6796791.623	4680875	5633875	4773750	6445437.217	4513105.498	7483875	24183.0467
PE P-16:0/22:5(PE P-16:0)	6210439.041	2335238.693	3561861.083	3096029.046	3311653.628	1985065.009	1608848.752	1155553.283	2945878.868	5288237.095	9899126.963	6609191.696	4688756.104	5919294.102	4985725.738	6128946.876	4212401.637	6828896.337	61786.6869
PE P-16:0/22:4(PE P-16:0)	5663214.542	2207824.074	3515854.192	873828.1356	981751.2602	650702.4948	1211019.825	772086.9926	2091985.559	4556129.441	8583288.883	5912109.908	1186241.249	1387092.683	1175152.584	4397181.555	2961228.844	5018750.004	0
PE P-16:0/22:3(PE P-16:0)	2384157.381	958452.426	1482565.082	73902.1936	136918.9724	100874.9555	435243.5677	277476.6234	801876.342	2967668.248	5953578.941	4824803.005	113116.8356	96144.8027	115746.7297	2246302.084	1531049.744	2605813.368	85500
PE P-16:0/22:2(PE P-16:0)	794880.5268	331260.4258	410389.6482	126442.5678	223769.4526	138151.3847	91427.6152	59620.7973	129647.8436	377026.8089	909729.7172	595753.3613	230211.5885	166835.5915	196666.6576	433223.5488	304975.8885	489744.8687	40433.4675
PE P-16:0/22:1(PE P-16:0)	745086.7859	274606.6577	441731.3213	36497.3929	0	33290.0454	89433.2413	57375	147030.7313	364100.7585	638673.5487	442674.9198	35450.1148	13072.6819	54517.2811	351916.4628	215388.2701	371201.4752	26500.1416
PE P-16:0/24:6(PE P-16:0)	163983.6665	101346.881	109058.6987	33616.2403	74264.5177	52131.1174	46701.6515	24881.7139	88750	88753.6998	148907.9629	154947.5539	59494.2494	60915.9388	53682.0044	109036.6898	82118.1856	119871.9739	15480.3344
PE P-16:0/24:5(PE P-16:0)	237623.2256	128693.135	208125	56375	59378.4853	44523.8594	91125	59020.801	119644.402	172266.5377	304584.112	226539.4562	57606.8279	67542.9819	78739.037	171939.8998	145203.7028	198677.8047	31686.3159
PE P-16:0/24:4(PE P-16:0)	821753.9984	336064.402	611588.5568	262792.3295	331869.6488	455875	539521.6054	314213.7711	471902.3667	524259.9176	520363.4701	774584.0277	440869.153	574875	511141.9907	594277.9066	316315.0116	556162.4182	275548.0769
